trade_number,date,ibit_buy_price,ibit_sell_price,ibit_overnight_return,strc_open_price,strc_close_price,strc_price_return,strc_dividend_return,strc_total_return,combined_return,portfolio_value_before,portfolio_value_after
1,2025-07-30 04:00:00,66.37000274658203,67.12000274658203,0.0110980459731026,90.57097349415297,91.30528259277344,0.008107554443674789,0.0002945205479452055,0.008302074991619996,0.019400120964722593,30561.760023374183,31154.661864722464
2,2025-07-31 04:00:00,66.31999969482422,65.6500015258789,-0.0103004653125029,91.78836699873536,91.28594970703125,-0.005473648874383263,0.0002945205479452055,-0.005279128326438058,-0.015579593638940958,31154.661864722464,30669.28489291148
3,2025-08-01 04:00:00,64.22000122070312,64.79199981689453,0.0087050993664295,91.47919621469687,90.95745086669922,-0.005703431704549987,0.0002945205479452055,-0.005508911156604782,0.0031961882098247183,30669.28489291148,30767.309699689962
4,2025-08-04 04:00:00,65.19999694824219,64.86000061035156,-0.005413605175819,92.65795307801844,93.13138580322266,0.005109466694192852,0.0002945205479452055,0.005303987242138057,-0.00010961793368094355,30767.309699689962,30763.937050775763
5,2025-08-05 04:00:00,64.55000305175781,64.70999908447266,0.0022781614255016,93.47920397032111,93.23765563964844,-0.0025839793281654494,0.0002945205479452055,-0.0023894587802202436,-0.00011129735471864357,30763.937050775763,30760.513105961283
6,2025-08-06 04:00:00,65.51000213623047,66.19000244140625,0.0101780431478024,93.71110016169487,93.72076416015625,0.00010312544025950477,0.0002945205479452055,0.00029764598820471026,0.01047568913600711,30760.513105961283,31082.750678923407
7,2025-08-07 04:00:00,66.83000183105469,66.37999725341797,-0.0069322046525057,94.25216838254359,94.29080963134766,0.0004099772924823848,0.0002945205479452055,0.0006044978404275902,-0.006327706812078109,31082.750678923407,30886.06814571426
8,2025-08-08 04:00:00,66.12999725341797,67.87999725341797,0.026257756390936,94.49371074042999,94.20384979248047,-0.0030675157709252818,0.0002945205479452055,-0.002872995222980076,0.023384761167955924,30886.06814571426,31608.331472718997
9,2025-08-11 04:00:00,67.63999938964844,67.7300033569336,0.0011303861881774,94.92849572932884,94.73526000976562,-0.0020355923485208846,0.0002945205479452055,-0.0018410718005756792,-0.0007106856123982792,31608.331472718997,31585.86788630942
10,2025-08-12 04:00:00,67.94999694824219,68.55000305175781,0.0086283664473868,95.16038700467857,94.48405456542969,-0.007107289708853636,0.0002945205479452055,-0.006912769160908431,0.001715597286478369,31585.86788630942,31640.05651554624
11,2025-08-13 04:00:00,69.83999633789062,67.20999908447266,-0.0378499147734795,94.84154437048959,94.59033203125,-0.002648758420236695,0.0002945205479452055,-0.002454237872291489,-0.04030415264577099,31640.05651554624,30364.83084802284
12,2025-08-14 04:00:00,67.02999877929688,67.30999755859375,0.0039764005774207,94.66763250392204,94.69661712646484,0.0003061724665144346,0.0002945205479452055,0.00050069301445964,0.0044770935918803404,30364.83084802284,30500.777037631055
13,2025-08-15 04:00:00,66.44000244140625,65.72000122070312,-0.0110346760948003,95.25187846394323,94.4433364868164,-0.00848846227670868,0.0002945205479452055,-0.008293941728763474,-0.019328617823563772,30500.777037631055,29911.239174948954
14,2025-08-18 04:00:00,66.05000305175781,65.73999786376953,-0.0048925338071418,94.6868710442422,93.76143646240234,-0.009773631461614621,0.0002945205479452055,-0.009579110913669414,-0.014471644720811215,29911.239174948954,29478.374348449885
15,2025-08-19 04:00:00,64.19000244140625,64.36499786376953,0.0025256847452179,93.76143981267555,91.1799545288086,-0.027532483385754966,0.0002945205479452055,-0.02733796283780976,-0.024812278092591858,29478.374348449885,28746.94872639862
16,2025-08-20 04:00:00,64.9000015258789,64.3499984741211,-0.0086729083412563,91.56961138790452,91.55986785888672,-0.00010640570457945601,0.0002945205479452055,8.811484336574946e-05,-0.00858479349789055,28746.94872639862,28500.162107888038
17,2025-08-21 04:00:00,63.689998626708984,63.79999923706055,0.0015267999446268,91.66702451200253,91.99823760986328,0.0036132196896757176,0.0002945205479452055,0.003807740237620923,0.005334540182247723,28500.162107888038,28652.197367853143
18,2025-08-22 04:00:00,66.25,63.45000076293945,-0.0424556674466416,92.38788369637523,92.59246063232422,0.0022143264653763125,0.0002945205479452055,0.0024088470133215184,-0.040046820433320085,28652.197367853143,27504.767964842682
19,2025-08-25 04:00:00,62.880001068115234,62.40999984741211,-0.007673059230307,92.5437536958641,92.64116668701172,0.0010526155170640615,0.0002945205479452055,0.0012471360650092669,-0.006425923165297734,27504.767964842682,27328.02443922126
20,2025-08-26 04:00:00,63.099998474121094,63.244998931884766,0.0020975075428104,92.65090869346865,93.18669128417969,0.005782809885693073,0.0002945205479452055,0.0059773304336382775,0.008074837976448677,27328.02443922126,27548.6938087844
21,2025-08-27 04:00:00,63.650001525878906,64.21499633789062,0.0086748324222923,93.40100013613056,94.02445220947266,0.0066750042551302615,0.0002945205479452055,0.0068695248030754665,0.015544357225367768,27548.6938087844,27976.92054644042
22,2025-08-28 04:00:00,63.58000183105469,62.779998779296875,-0.0127800845020164,94.41410507824683,94.89144134521484,0.005055772827295365,0.0002945205479452055,0.00525029337524057,-0.0075297911267758295,27976.92054644042,27766.26017835532
23,2025-08-29 04:00:00,61.439998626708984,62.1349983215332,0.0111096020994846,94.87196351987932,95.22265625,0.0036964843680841577,0.0002945205479452055,0.003891004916029363,0.015000607015513964,27766.26017835532,28182.770935581342
24,2025-09-02 04:00:00,62.970001220703125,63.2599983215332,0.0044044205314077,94.97912012922697,94.95964050292969,-0.0002050937750400225,0.0002945205479452055,-1.0573227094817027e-05,0.004393847304312883,28182.770935581342,28306.601727684712
25,2025-09-03 04:00:00,63.77000045776367,62.93000030517578,-0.0133696861855827,95.88507412282965,95.14472198486328,-0.007721244883410852,0.0002945205479452055,-0.007526724335465647,-0.020896410521048348,28306.601727684712,27715.095357527196
26,2025-09-04 04:00:00,62.349998474121094,64.12000274658203,0.028182543659769,95.35902994390902,94.94014739990234,-0.004392688812512755,0.0002945205479452055,-0.00419816826456755,0.02398437539520145,27715.095357527196,28379.82460869593
27,2025-09-05 04:00:00,63.41999816894531,63.7599983215332,0.005160035279791,95.24213328789517,95.07653045654297,-0.0017387560067730048,0.0002945205479452055,-0.0015442354588277995,0.0036157998209632005,28379.82460869593,28482.44037343502
28,2025-09-08 04:00:00,63.70000076293945,64.0999984741211,0.0060781630882469,95.27136724876854,95.03756713867188,-0.002454043820806912,0.0002945205479452055,-0.002259523272861706,0.0038186398153851942,28482.44037343502,28591.204554284355
29,2025-09-09 04:00:00,63.220001220703125,64.5999984741211,0.0216241461435821,94.9888610699106,94.81351470947266,-0.0018459676057057811,0.0002945205479452055,-0.0016514470577605757,0.019972699085821527,28591.204554284355,29162.248079348246
30,2025-09-10 04:00:00,64.52999877929688,64.625,0.0012719280121886,95.01809355735284,94.8817138671875,-0.0014353023204261924,0.0002945205479452055,-0.001240781772480987,3.114623970761304e-05,29162.248079348246,29163.15637371734
31,2025-09-11 04:00:00,65.02999877929688,65.31999969482422,0.0042586225904391,94.97911417066948,94.85247802734375,-0.0013333051632611716,0.0002945205479452055,-0.0011387846153159663,0.0031198379751231336,29163.15637371734,29254.140696446517
32,2025-09-12 04:00:00,66.37999725341797,65.36000061035156,-0.0155629312874967,95.10575278747018,94.73558044433594,-0.003892218212724265,0.0002945205479452055,-0.0036976976647790593,-0.01926062895227576,29254.140696446517,28690.68754717459
33,2025-09-15 04:00:00,65.5,65.56999969482422,0.0008685039107499,95.11190470422348,95.21015930175781,0.0010330420554596738,0.0002945205479452055,0.0012275626034048792,0.0020960665141547792,28690.68754717459,28750.8251366103
34,2025-09-16 04:00:00,66.37000274658203,66.02999877929688,-0.0053218115407004,95.38702269949378,95.25928497314453,-0.0013391520432677307,0.0002945205479452055,-0.0011446314953225253,-0.006466443036022926,28750.8251366103,28564.90956362575
35,2025-09-17 04:00:00,65.66999816894531,66.7300033569336,0.015938184117058,95.21015837565096,95.56388092041016,0.0037151765189128664,0.0002945205479452055,0.003909697066858071,0.01984788118391607,28564.90956362575,29131.8624946739
36,2025-09-18 04:00:00,66.75,66.01000213623047,-0.0112838733202807,95.78986253834938,95.79969024658203,0.00010259653758991969,0.0002945205479452055,0.00029711708553512516,-0.010986756234745574,29131.8624946739,28811.79782278079
37,2025-09-19 04:00:00,65.37000274658203,64.17500305175781,-0.0184768756511334,95.93724930412453,95.99620056152344,0.0006144772528554056,0.0002945205479452055,0.000808997800800611,-0.01766787785033279,28811.79782278079,28302.754498199418
38,2025-09-22 04:00:00,63.650001525878906,64.16000366210938,0.0078110197431445,96.04533273857167,95.84882354736328,-0.0020460045855978824,0.0002945205479452055,-0.001851484037652677,0.005959535705491823,28302.754498199418,28471.425774195206
