trade_date,buy_date,sell_date,buy_price,sell_price,shares,buy_cost,sell_proceeds,gross_return,net_return,pnl,capital_before,capital_after,portfolio_value
2024-01-12,2024-01-12 00:00:00-05:00,2024-01-16 00:00:00-05:00,24.969999313354492,24.700000762939453,400,9988.998525314331,9879.012305145263,-0.010812917814965179,-0.011010735449638827,-109.98622016906847,19879.01230514526,9890.013779830932,9890.013779830932
2024-01-16,2024-01-16 00:00:00-05:00,2024-01-17 00:00:00-05:00,24.719999313354492,24.350000381469727,400,9888.988525314331,9739.026152572633,-0.014967594747661704,-0.015164581530033847,-149.96237274169835,19629.039932403564,9740.051407089233,9740.051407089233
2024-01-17,2024-01-17 00:00:00-05:00,2024-01-18 00:00:00-05:00,24.40999984741211,24.350000381469727,398,9716.151457263946,9690.331021809769,-0.002457987149424084,-0.0026574756031488046,-25.82043545417764,19430.382428899,9714.230971635056,9714.230971635056
2024-01-18,2024-01-18 00:00:00-05:00,2024-01-19 00:00:00-05:00,23.34000015258789,23.489999771118164,416,9710.41100748291,9770.862720794677,0.006426718832460753,0.006225453615216018,60.45171331176789,19485.093692429735,9774.682684946823,9774.682684946823
2024-01-19,2024-01-19 00:00:00-05:00,2024-01-22 00:00:00-05:00,23.799999237060547,23.200000762939453,410,9758.975487163543,9511.049112773895,-0.02521002072919383,-0.02540495923119776,-247.92637438964812,19285.73179772072,9526.756310557175,9526.756310557175
2024-01-22,2024-01-22 00:00:00-05:00,2024-01-23 00:00:00-05:00,22.950000762939453,22.190000534057617,415,9525.202741651536,9207.929336611747,-0.03311547728177481,-0.03330883485056169,-317.2734050397885,18734.685647168924,9209.482905517387,9209.482905517387
2024-01-23,2024-01-23 00:00:00-05:00,2024-01-24 00:00:00-05:00,22.31999969482422,22.81999969482422,412,9196.759458255005,9400.899690280152,0.02240143399804548,0.02219697415723004,204.14023202514727,18610.38259579754,9413.623137542534,9413.623137542534
2024-01-24,2024-01-24 00:00:00-05:00,2024-01-25 00:00:00-05:00,22.600000381469727,22.860000610351562,416,9402.540318707275,9508.809277880859,0.01150443471209037,0.01130215405321378,106.26895917358343,18922.43241542339,9519.892096716118,9519.892096716118
2024-01-25,2024-01-25 00:00:00-05:00,2024-01-26 00:00:00-05:00,22.760000228881836,23.520000457763672,418,9514.631463682175,9830.37705532608,0.03339192536199608,0.033185267642695526,315.74559164390485,19350.269152042198,9835.637688360022,9835.637688360022
2024-01-26,2024-01-26 00:00:00-05:00,2024-01-29 00:00:00-05:00,23.989999771118164,23.989999771118164,409,9812.891097377968,9810.92871539669,0.0,-0.00019998000199973715,-1.9623819812768488,19646.56640375671,9833.675306378746,9833.675306378746
2024-01-29,2024-01-29 00:00:00-05:00,2024-01-30 00:00:00-05:00,24.670000076293945,24.84000015258789,398,9819.641896368026,9885.331428723908,0.0068909637522580666,0.006689605695313435,65.68953235588197,19719.006735102652,9899.364838734627,9899.364838734627
2024-01-30,2024-01-30 00:00:00-05:00,2024-01-31 00:00:00-05:00,24.8799991607666,24.3799991607666,397,9878.347402791023,9677.891780857659,-0.0200964637003868,-0.020292424811535564,-200.45562193336445,19577.256619592285,9698.909216801263,9698.909216801263
2024-01-31,2024-01-31 00:00:00-05:00,2024-02-01 00:00:00-05:00,24.299999237060547,24.209999084472656,399,9696.669265556717,9658.82365574112,-0.003703710099324987,-0.0039029494333716226,-37.84560981559662,19357.732872542383,9661.063606985666,9661.063606985666
2024-02-01,2024-02-01 00:00:00-05:00,2024-02-02 00:00:00-05:00,24.540000915527344,24.389999389648438,393,9645.184781838227,9584.311233155822,-0.006112531388863758,-0.0063112890068242715,-60.87354868240436,19245.37484014149,9600.190058303262,9600.190058303262
2024-02-02,2024-02-02 00:00:00-05:00,2024-02-05 00:00:00-05:00,24.5,24.75,391,9580.45795,9676.282275,0.01020408163265306,0.010002061018387914,95.82432499999959,19276.47233330326,9696.014383303262,9696.014383303262
2024-02-05,2024-02-05 00:00:00-05:00,2024-02-06 00:00:00-05:00,24.190000534057617,24.469999313354492,400,9676.967813644409,9787.020925369263,0.011574980285868897,0.011372685519288411,110.0531117248538,19483.035308672523,9806.067495028115,9806.067495028115
2024-02-06,2024-02-06 00:00:00-05:00,2024-02-07 00:00:00-05:00,24.600000381469727,24.65999984741211,398,9791.779231840133,9813.698471276093,0.0024390026427632983,0.002238534889010212,21.919239435959753,19619.765966304207,9827.986734464075,9827.986734464075
2024-02-07,2024-02-07 00:00:00-05:00,2024-02-08 00:00:00-05:00,25.219999313354492,25.7549991607666,389,9811.560790868187,10017.692804070854,0.021213317286999937,0.021009095045766608,206.1320132026667,19845.67953853493,10034.118747666742,10034.118747666742
2024-02-08,2024-02-08 00:00:00-05:00,2024-02-09 00:00:00-05:00,26.030000686645508,26.850000381469727,385,10022.552419384956,10336.216421851159,0.03150210039160365,0.03129582059950465,313.6640024662029,20370.3351695179,10347.782750132945,10347.782750132945
2024-02-09,2024-02-09 00:00:00-05:00,2024-02-12 00:00:00-05:00,27.149999618530273,27.530000686645508,381,10345.1842696455,10487.881368585777,0.013996356296663742,0.013793577303303656,142.6970989402762,20835.66411871872,10490.479849073221,10490.479849073221
2024-02-12,2024-02-12 00:00:00-05:00,2024-02-13 00:00:00-05:00,28.65999984741211,27.969999313354492,365,10461.94603429985,10208.028844399452,-0.02407538512670026,-0.024270550533134226,-253.91718990039772,20698.50869347267,10236.562659172823,10236.562659172823
2024-02-13,2024-02-13 00:00:00-05:00,2024-02-14 00:00:00-05:00,28.219999313354492,29.579999923706055,362,10216.66131540947,10706.889176384353,0.04819279388529157,0.04798317628827408,490.2278609748828,20943.451835557178,10726.790520147706,10726.790520147706
2024-02-14,2024-02-14 00:00:00-05:00,2024-02-15 00:00:00-05:00,29.549999237060547,29.9950008392334,362,10698.1694337883,10857.10448477211,0.015059276266063201,0.014856284709965516,158.93505098380956,21583.895004919817,10885.725571131516,10885.725571131516
2024-02-15,2024-02-15 00:00:00-05:00,2024-02-16 00:00:00-05:00,29.520000457763672,29.857999801635742,368,10864.446504473877,10986.645152609253,0.011449842094537553,0.011247572353092797,122.19864813537606,21872.37072374077,11007.924219266892,11007.924219266892
2024-02-16,2024-02-16 00:00:00-05:00,2024-02-20 00:00:00-05:00,29.6200008392334,29.8799991607666,371,10990.119213386726,11084.371140675545,0.008777795886785403,0.00857606050114662,94.25192728881848,22092.295359942436,11102.17614655571,11102.17614655571
2024-02-20,2024-02-20 00:00:00-05:00,2024-02-21 00:00:00-05:00,29.670000076293945,29.05500030517578,374,11097.689686536789,10865.483457124328,-0.020728000321427135,-0.020923835137881243,-232.20622941246074,21967.65960368004,10869.96991714325,10869.96991714325
2024-02-21,2024-02-21 00:00:00-05:00,2024-02-22 00:00:00-05:00,29.079999923706055,29.170000076293945,373,10847.924655539513,10879.321987454796,0.0030949158467680183,0.0028943169234909596,31.397331915282848,21749.291904598045,10901.367249058532,10901.367249058532
2024-02-22,2024-02-22 00:00:00-05:00,2024-02-23 00:00:00-05:00,29.719999313354492,29.260000228881836,366,10878.607500662612,10708.089167762375,-0.015477762284669993,-0.015674647043737104,-170.5183329002375,21609.456416820907,10730.848916158295,10730.848916158295
2024-02-23,2024-02-23 00:00:00-05:00,2024-02-26 00:00:00-05:00,29.15999984741211,29.34000015258789,367,10702.790115994643,10766.703277994156,0.006172850004035783,0.005971635555479974,63.91316199951325,21497.55219415245,10794.762078157808,10794.762078157808
2024-02-26,2024-02-26 00:00:00-05:00,2024-02-27 00:00:00-05:00,31.1200008392334,32.529998779296875,346,10768.597042403793,11254.254039678955,0.045308415875293724,0.04509937509619662,485.6569972751622,22049.016117836763,11280.41907543297,11280.41907543297
2024-02-27,2024-02-27 00:00:00-05:00,2024-02-28 00:00:00-05:00,32.59000015258789,34.40999984741211,346,11277.26766680069,11904.66936120987,0.05584534170920208,0.05563419375565562,627.40169440918,23185.08843664284,11907.82076984215,11907.82076984215
2024-02-28,2024-02-28 00:00:00-05:00,2024-02-29 00:00:00-05:00,34.45000076293945,36.20500183105469,345,11886.438788240433,12489.476559150697,0.05094342610300391,0.050733258434550156,603.0377709102631,24397.29732899285,12510.858540752413,12510.858540752413
2024-02-29,2024-02-29 00:00:00-05:00,2024-03-01 00:00:00-05:00,35.41999816894531,35.650001525878906,353,12504.509679573059,12583.19209358139,0.006493601604283834,0.006292323011822261,78.68241400833176,25094.050634333806,12589.540954760745,12589.540954760745
2024-03-01,2024-03-01 00:00:00-05:00,2024-03-04 00:00:00-05:00,35.9900016784668,37.41999816894531,349,12561.766636843491,13058.273403025818,0.03973315987184568,0.03952523403245521,496.5067661823268,25647.814357786563,13086.047720943072,13086.047720943072
2024-03-04,2024-03-04 00:00:00-05:00,2024-03-05 00:00:00-05:00,38.650001525878906,38.665000915527344,338,13065.006885798644,13067.463432417297,0.00038808251115835917,0.00018802490041719695,2.4565466186522826,26153.51115336037,13088.504267561724,13088.504267561724
2024-03-05,2024-03-05 00:00:00-05:00,2024-03-06 00:00:00-05:00,35.31999969482422,38.15999984741211,370,13069.70672707367,14117.788023548126,0.08040770603415558,0.08019164609894223,1048.0812964744564,27206.29229110985,14136.58556403618,14136.58556403618
2024-03-06,2024-03-06 00:00:00-05:00,2024-03-07 00:00:00-05:00,38.290000915527344,38.5,369,14130.423238863372,14205.07935,0.005484436653212446,0.005283359873559837,74.65611113662817,28341.66491403618,14211.241675172809,14211.241675172809
2024-03-07,2024-03-07 00:00:00-05:00,2024-03-08 00:00:00-05:00,38.630001068115234,38.935001373291016,367,14178.62811303749,14287.716589447404,0.0078954257505192,0.007693866821262136,109.08847640991371,28498.95826462021,14320.330151582722,14320.330151582722
2024-03-08,2024-03-08 00:00:00-05:00,2024-03-11 00:00:00-04:00,39.54999923706055,41.310001373291016,362,14318.5314337883,14952.725075081635,0.044500686983104894,0.04429180773363326,634.1936412933355,29273.055226664357,14954.523792876058,14954.523792876058
2024-03-11,2024-03-11 00:00:00-04:00,2024-03-12 00:00:00-04:00,41.119998931884766,41.279998779296875,363,14928.052268235397,14983.141092929078,0.003891046973934726,0.003690288840353383,55.08882469368109,29937.664885805134,15009.612617569739,15009.612617569739
2024-03-12,2024-03-12 00:00:00-04:00,2024-03-13 00:00:00-04:00,40.72999954223633,41.52000045776367,368,14990.138695526122,15277.832232440185,0.01939604528372572,0.01919218646055132,287.69353691406286,30287.444850009924,15297.306154483802,15297.306154483802
2024-03-13,2024-03-13 00:00:00-04:00,2024-03-14 00:00:00-04:00,41.95000076293945,41.459999084472656,364,15271.327257737732,15089.930522781373,-0.011680611908347967,-0.011878256021554925,-181.39673495635907,30387.236677265173,15115.909419527443,15115.909419527443
2024-03-14,2024-03-14 00:00:00-04:00,2024-03-15 00:00:00-04:00,39.5099983215332,38.689998626708984,382,15094.328640761565,14778.101517455292,-0.020754232590724096,-0.0209500621612488,-316.2271233062729,29894.010936982733,14799.68229622117,14799.68229622117
2024-03-15,2024-03-15 00:00:00-04:00,2024-03-18 00:00:00-04:00,39.38999938964844,38.810001373291016,375,14772.726896095275,14552.295139932632,-0.014724499247132343,-0.014921534643743233,-220.43175616264307,29351.9774361538,14579.250540058527,14579.250540058527
2024-03-18,2024-03-18 00:00:00-04:00,2024-03-19 00:00:00-04:00,38.13999938964844,36.349998474121094,382,14570.936714822388,13884.310847172546,-0.046932379238924876,-0.04712297370363066,-686.6258676498419,28463.56138723107,13892.624672408685,13892.624672408685
2024-03-19,2024-03-19 00:00:00-04:00,2024-03-20 00:00:00-04:00,36.70000076293945,36.18000030517578,378,13873.987548419953,13674.67251134491,-0.01416894950827306,-0.014366096003721858,-199.3150370750427,27567.297183753595,13693.309635333642,13693.309635333642
2024-03-20,2024-03-20 00:00:00-04:00,2024-03-21 00:00:00-04:00,37.54999923706055,38.60499954223633,364,13669.566542262268,14050.814611390686,0.028095880868475025,0.027890282252162977,381.24806912841814,27744.12424672433,14074.55770446206,14074.55770446206
2024-03-21,2024-03-21 00:00:00-04:00,2024-03-22 00:00:00-04:00,37.150001525878906,36.599998474121094,378,14044.104846839904,13833.415943275451,-0.014804926760896018,-0.015001946073612531,-210.68890356445263,27907.97364773751,13863.868800897608,13863.868800897608
2024-03-22,2024-03-22 00:00:00-04:00,2024-03-25 00:00:00-04:00,36.40999984741211,38.20000076293945,380,13837.183522010802,14514.548689888,0.049162343395466136,0.04895253190793589,677.3651678771985,28378.417490785607,14541.233968774806,14541.233968774806
2024-03-25,2024-03-25 00:00:00-04:00,2024-03-26 00:00:00-04:00,40.54999923706055,40.45000076293945,358,14518.351416840362,14479.652163105011,-0.0024660536622082216,-0.0026655405027916686,-38.699253735350794,29020.886131879815,14502.534715039455,14502.534715039455
2024-03-26,2024-03-26 00:00:00-04:00,2024-03-27 00:00:00-04:00,39.630001068115234,40.90999984741211,365,14466.396884901047,14930.65672931099,0.03229873188993458,0.03209229278746681,464.25984440994216,29433.191444350443,14966.794559449398,14966.794559449398
2024-03-27,2024-03-27 00:00:00-04:00,2024-03-28 00:00:00-04:00,39.130001068115234,40.560001373291016,382,14949.155174060821,15492.37113254471,0.03654485729981248,0.03633756905717689,543.2159584838882,30459.16569199411,15510.010517933286,15510.010517933286
2024-03-28,2024-03-28 00:00:00-04:00,2024-04-01 00:00:00-04:00,40.470001220703125,39.9900016784668,383,15501.56046857605,15314.639025788498,-0.011860625840326787,-0.012058233954347342,-186.92144278755222,30824.64954372178,15323.089075145734,15323.089075145734
2024-04-01,2024-04-01 00:00:00-04:00,2024-04-02 00:00:00-04:00,39.75,37.02000045776367,385,15305.280375,14251.27490622139,-0.06867923376695165,-0.0688654792956454,-1054.0054687786105,29574.363981367125,14269.083606367123,14269.083606367123
2024-04-02,2024-04-02 00:00:00-04:00,2024-04-03 00:00:00-04:00,37.599998474121094,37.5,379,14251.824461634063,14211.07875,-0.002659533994128207,-0.002858982142514485,-40.7457116340629,28480.162356367124,14228.33789473306,14228.33789473306
2024-04-03,2024-04-03 00:00:00-04:00,2024-04-04 00:00:00-04:00,37.540000915527344,38.40999984741211,378,14191.539358103943,14517.528044327546,0.02317525068372909,0.022970636095051296,325.9886862236035,28745.865939060604,14554.326580956664,14554.326580956664
2024-04-04,2024-04-04 00:00:00-04:00,2024-04-05 00:00:00-04:00,39.08000183105469,38.15999984741211,372,14539.214457220458,14194.10039124298,-0.02354150308436025,-0.023736775256526118,-345.11406597747737,28748.426972199646,14209.212514979186,14209.212514979186
2024-04-05,2024-04-05 00:00:00-04:00,2024-04-08 00:00:00-04:00,38.40999984741211,41.150001525878906,369,14174.707272689438,15182.832127993011,0.07133563367226636,0.07112138797010208,1008.124855303573,29392.0446429722,15217.33737028276,15217.33737028276
2024-04-08,2024-04-08 00:00:00-04:00,2024-04-09 00:00:00-04:00,40.95000076293945,40.290000915527344,371,15193.969528078842,14946.09558062668,-0.016117212090736324,-0.016313968972629916,-247.8739474521626,30163.43295090944,14969.463422830597,14969.463422830597
2024-04-09,2024-04-09 00:00:00-04:00,2024-04-10 00:00:00-04:00,39.33000183105469,38.58000183105469,380,14946.895235870361,14658.934655731202,-0.01906941177429098,-0.019265578275285942,-287.960580139159,29628.398078561797,14681.502842691438,14681.502842691438
2024-04-10,2024-04-10 00:00:00-04:00,2024-04-11 00:00:00-04:00,40.0,40.349998474121094,367,14681.467999999999,14806.96859505844,0.008749961853027344,0.008548232033638723,125.50059505844183,29488.47143774988,14807.00343774988,14807.00343774988
2024-04-11,2024-04-11 00:00:00-04:00,2024-04-12 00:00:00-04:00,40.16999816894531,40.0,368,14784.037582104493,14718.528,-0.004231968551015144,-0.004431102243935666,-65.50958210449244,29525.53143774988,14741.493855645387,14741.493855645387
2024-04-12,2024-04-12 00:00:00-04:00,2024-04-15 00:00:00-04:00,38.13999938964844,37.779998779296875,386,14723.511968380737,14581.621220855714,-0.009438925435569623,-0.009637017841241878,-141.89074752502347,29323.1150765011,14599.603108120364,14599.603108120364
2024-04-15,2024-04-15 00:00:00-04:00,2024-04-16 00:00:00-04:00,36.08000183105469,36.040000915527344,404,14577.778371820068,14558.70435383606,-0.001108672768772264,-0.001308431058389535,-19.074017984008606,29158.30746195642,14580.529090136355,14580.529090136355
2024-04-16,2024-04-16 00:00:00-04:00,2024-04-17 00:00:00-04:00,35.75,35.56999969482422,407,14551.705025,14475.542176805879,-0.005034973571350524,-0.005233946679325344,-76.16284819412067,29056.071266942236,14504.366241942234,14504.366241942234
2024-04-17,2024-04-17 00:00:00-04:00,2024-04-18 00:00:00-04:00,34.7599983215332,35.58000183105469,417,14496.368792009354,14835.37707747345,0.023590435820404133,0.02338573820300172,339.008285464095,29339.743319415684,14843.37452740633,14843.37452740633
2024-04-18,2024-04-18 00:00:00-04:00,2024-04-19 00:00:00-04:00,36.209999084472656,36.95000076293945,409,14811.37061451187,15111.039057011032,0.020436390421896468,0.020232323550499295,299.66844249916176,29954.41358441736,15143.042969905491,15143.042969905491
2024-04-19,2024-04-19 00:00:00-04:00,2024-04-22 00:00:00-04:00,36.66999816894531,37.66999816894531,412,15109.55004953003,15518.487241680908,0.02727024952095223,0.027064816014398706,408.9371921508791,30661.5302115864,15551.98016205637,15551.98016205637
